Car_BC::sub_43B420,0x43b420,0x3b420,0x11d
sub_43B540,0x43b540,0x3b540,0x55
Car_BC::sub_43B5A0,0x43b5a0,0x3b5a0,0x17d
Car_BC::sub_43B730,0x43b730,0x3b730,0x16
Car_BC::sub_43B750,0x43b750,0x3b750,0x16
Car_BC::sub_43B770,0x43b770,0x3b770,0x3c
Car_BC::sub_43B7B0,0x43b7b0,0x3b7b0,0x9a
Car_BC::sub_43B850,0x43b850,0x3b850,0x1a
Car_BC::sub_43B870,0x43b870,0x3b870,0x312
Car_BC::sub_43BB90,0x43bb90,0x3bb90,0x2a
Car_BC::sub_43BBC0,0x43bbc0,0x3bbc0,0x65
Car_BC::sub_43BC30,0x43bc30,0x3bc30,0x4d
Car_BC::sub_43BCA0,0x43bca0,0x3bca0,0x13
Car_BC::DeAllocateCarPhysics_43BD00,0x43bd00,0x3bd00,0x13
Car_BC::sub_43BD40,0x43bd40,0x3bd40,0x167
Car_BC::sub_43BF10,0x43bf10,0x3bf10,0x3f
Car_BC::sub_43BF70,0x43bf70,0x3bf70,0x21
Car_BC::sub_43BFE0,0x43bfe0,0x3bfe0,0xb3
Car_BC::sub_43C0C0,0x43c0c0,0x3c0c0,0xc0
Car_BC::sub_43C1C0,0x43c1c0,0x3c1c0,0x55
Car_BC::sub_43C260,0x43c260,0x3c260,0x4c
Car_BC::sub_43C310,0x43c310,0x3c310,0x4f
Car_BC::sub_43C3C0,0x43c3c0,0x3c3c0,0x4c
Car_BC::sub_43C470,0x43c470,0x3c470,0x4f
Car_BC::sub_43C500,0x43c500,0x3c500,0x8f
Car_BC::sub_43C650,0x43c650,0x3c650,0x48
Car_BC::sub_43C700,0x43c700,0x3c700,0x98
Car_BC::sub_43C840,0x43c840,0x3c840,0x57
Car_BC::ActivateEmergencyLights_43C920,0x43c920,0x3c920,0x4a
Car_BC::DeactivateEmergencyLights_43C9D0,0x43c9d0,0x3c9d0,0x4a
Car_BC::sub_43CA80,0x43ca80,0x3ca80,0x13
Car_BC::sub_43CBE0,0x43cbe0,0x3cbe0,0x1aa
Car_BC::sub_43CDF0,0x43cdf0,0x3cdf0,0x7b
Car_BC::DamageArea_43CF30,0x43cf30,0x3cf30,0x10d
Car_BC::IsAreaDamaged_43D1C0,0x43d1c0,0x3d1c0,0x6b
Car_BC::sub_43D2C0,0x43d2c0,0x3d2c0,0x83
Car_BC::sub_43D400,0x43d400,0x3d400,0x127
Car_BC:sub_43D5D0,0x43d5d0,0x3d5d0,0x54
Car_BC::sub_43D690,0x43d690,0x3d690,0x85
Car_BC::sub_43D7B0,0x43d7b0,0x3d7b0,0x50
Car_BC::ExplodeCar_Unknown_43D840,0x43d840,0x3d840,0x205
Car_BC::sub_43DA90,0x43da90,0x3da90,0xe7
Car_BC::sub_43DB80,0x43db80,0x3db80,0x47
Car_BC::sub_43DBD0,0x43dbd0,0x3dbd0,0x26
Car_BC::sub_43DC00,0x43dc00,0x3dc00,0x71
Car_BC::sub_43DC80,0x43dc80,0x3dc80,0xc2
Car_BC::sub_43DD50,0x43dd50,0x3dd50,0xd
Car_BC::sub_43DD60,0x43dd60,0x3dd60,0x1cf
Car_BC::sub_43E560,0x43e560,0x3e560,0x15b
Car_BC::sub_43E8D0,0x43e8d0,0x3e8d0,0xd
Car_BC::sub_43E990,0x43e990,0x3e990,0x17
Car_BC::sub_43EA60,0x43ea60,0x3ea60,0x134
Car_BC::sub_43F130,0x43f130,0x3f130,0x864
CarPhysics_B0::sub_4403A0,0x4403a0,0x403a0,0x5d
Car_BC::sub_440510,0x440510,0x40510,0x5d
Car_BC::GetPassengersCount_440570,0x440570,0x40570,0x1f
Car_BC::sub_440590,0x440590,0x40590,0x5d
Car_BC::SpawnDriverPed,0x4405f0,0x405f0,0x35
Car_BC::AddGangDriver_440630,0x440630,0x40630,0x27
Car_BC::AttachGangIcon_440660,0x440660,0x40660,0x4e
Car_BC::ShowCarName_4406B0,0x4406b0,0x406b0,0x27
Car_BC::sub_4406E0,0x4406e0,0x406e0,0x105
Car_BC::sub_4407F0,0x4407f0,0x407f0,0x4e
Car_BC::sub_440840,0x440840,0x40840,0x12
sub_440860,0x440860,0x40860,0x2c
Car_BC::sub_440AC0,0x440ac0,0x40ac0,0x43
Car_BC::sub_440B10,0x440b10,0x40b10,0x46
Car_BC::sub_440B60,0x440b60,0x40b60,0x46
Car_BC::sub_440BB0,0x440bb0,0x40bb0,0x53
Car_BC::sub_440C10,0x440c10,0x40c10,0x17e
Car_BC::sub_440D90,0x440d90,0x40d90,0x1ff
Car_BC::sub_440F90,0x440f90,0x40f90,0x9b
Car_BC::sub_441030,0x441030,0x41030,0x4b
Car_BC::sub_441080,0x441080,0x41080,0x4b
Car_BC::sub_4410D0,0x4410d0,0x410d0,0x247
sub_441330,0x441330,0x41330,0x29
Car_BC::sub_441360,0x441360,0x41360,0x1a
Car_BC::sub_441380,0x441380,0x41380,0x25
Car_BC::sub_4413B0,0x4413b0,0x413b0,0x168
Car_BC::sub_441520,0x441520,0x41520,0x75
Car_BC::sub_4415C0,0x4415c0,0x415c0,0x25
nullsub_96,0x4415f0,0x415f0,0x1
Car_BC::sub_441600,0x441600,0x41600,0xcb
Car_BC::sub_4416D0,0x4416d0,0x416d0,0xfd
Car_BC::sub_4417D0,0x4417d0,0x417d0,0x17
